serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
153,DUK,DUK,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
154,DNB,DNB,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
155,ETFC,ETFC,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
156,EMN,EMN,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
157,ETN,ETN,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
158,EBAY,EBAY,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
159,ECL,ECL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
160,EIX,EIX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
161,EW,EW,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
162,EA,EA,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
163,EMC,EMC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
164,EMR,EMR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
165,ESV,ESV,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
166,ETR,ETR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
167,EOG,EOG,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
168,EQT,EQT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
169,EFX,EFX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
170,EQR,EQR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
171,EL,EL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
172,EXC,EXC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
173,EXPE,EXPE,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
174,EXPD,EXPD,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
175,ESRX,ESRX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
176,XOM,XOM,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
177,FFIV,FFIV,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
178,FB,FB,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
179,FDO,FDO,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
180,FAST,FAST,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
181,FDX,FDX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
182,FIS,FIS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
183,FITB,FITB,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
184,FSLR,FSLR,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
185,FE,FE,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
186,FISV,FISV,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
187,FLIR,FLIR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
188,FLS,FLS,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
189,FLR,FLR,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
190,FMC,FMC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
191,FTI,FTI,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
192,F,F,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
193,FRX,FRX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
194,FOSL,FOSL,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
195,BEN,BEN,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
196,FCX,FCX,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
197,FTR,FTR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
198,GME,GME,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
199,GCI,GCI,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
200,GPS,GPS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
201,GRMN,GRMN,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
202,GD,GD,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
203,GE,GE,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
204,GGP,GGP,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
205,GIS,GIS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
206,GM,GM,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
207,GPC,GPC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
208,GNW,GNW,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
209,GILD,GILD,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
210,GS,GS,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
211,GT,GT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
212,GOOG,GOOG,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
213,GWW,GWW,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
214,HAL,HAL,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
215,HOG,HOG,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
216,HAR,HAR,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
217,HRS,HRS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
218,HIG,HIG,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
219,HAS,HAS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
220,HCP,HCP,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
221,HCN,HCN,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
222,HP,HP,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
223,HES,HES,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
224,HPQ,HPQ,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
225,HD,HD,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
226,HON,HON,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
227,HRL,HRL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
228,HSP,HSP,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
229,HST,HST,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
230,HCBK,HCBK,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
231,HUM,HUM,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
232,HBAN,HBAN,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
233,ITW,ITW,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
234,IR,IR,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
235,TEG,TEG,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
236,INTC,INTC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
237,ICE,ICE,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
238,IBM,IBM,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
239,IGT,IGT,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
240,IP,IP,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
241,IPG,IPG,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
242,IFF,IFF,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
243,INTU,INTU,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
244,ISRG,ISRG,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
245,IVZ,IVZ,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
246,IRM,IRM,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
247,JBL,JBL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
248,JEC,JEC,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
249,JNJ,JNJ,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
250,JCI,JCI,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
251,JOY,JOY,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
252,JPM,JPM,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
253,JNPR,JNPR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
254,KSU,KSU,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
255,K,K,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
256,KEY,KEY,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
257,KMB,KMB,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
258,KIM,KIM,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
259,KMI,KMI,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
260,KLAC,KLAC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
261,KSS,KSS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
262,KRFT,KRFT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
263,KR,KR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
264,LB,LB,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
265,LLL,LLL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
266,LH,LH,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
267,LRCX,LRCX,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
268,LM,LM,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
269,LEG,LEG,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
270,LEN,LEN,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
271,LUK,LUK,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
272,LLY,LLY,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
273,LNC,LNC,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
274,LLTC,LLTC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
275,LMT,LMT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
276,L,L,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
277,LO,LO,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
278,LOW,LOW,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
279,LSI,LSI,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
280,LYB,LYB,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
281,MTB,MTB,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
282,MAC,MAC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
283,M,M,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
284,MRO,MRO,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
285,MPC,MPC,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
286,MAR,MAR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
287,MMC,MMC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
288,MAS,MAS,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
289,MA,MA,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
290,MAT,MAT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
291,MKC,MKC,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
292,MCD,MCD,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
293,MHFI,MHFI,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
294,MCK,MCK,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
295,MJN,MJN,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
296,MWV,MWV,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
297,MDT,MDT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
298,MRK,MRK,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
299,MET,MET,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
300,MCHP,MCHP,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
301,MU,MU,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
302,MSFT,MSFT,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
303,MHK,MHK,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
304,TAP,TAP,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
305,MDLZ,MDLZ,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
306,MON,MON,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
307,MNST,MNST,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
308,MCO,MCO,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
309,MS,MS,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
310,MOS,MOS,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
311,MSI,MSI,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
312,MUR,MUR,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
313,MYL,MYL,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
314,NBR,NBR,STK,SMART,NASDAQ,USD,,,,1,09:30:00?16:00:00?America/New_York,2,ADR:IDT
315,NDAQ,NDAQ,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
316,NOV,NOV,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
317,NTAP,NTAP,STK,SMART,NASDAQ,USD,,,,1,,100,ADR
