serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
208,BLUEDART,BLUEDART,STK,NSE,,INR,,,,,2000,100000,-500000,0,-358500,,0.05,N,100,ADR
209,BLUESTINF,BLUESTINF,STK,NSE,,INR,,,,,2000,100000,-500000,0,-360250,,0.05,N,100,ADR
210,BLUESTARC,BLUESTARC,STK,NSE,,INR,,,,,2000,100000,-500000,0,-362000,,0.05,N,100,ADR
211,BOC,BOC,STK,NSE,,INR,,,,,2000,100000,-500000,0,-363750,,0.05,N,100,ADR
212,BODALCHEM,BODALCHEM,STK,NSE,,INR,,,,,2000,100000,-500000,0,-365500,,0.05,N,100,ADR
213,BODHTREE,BODHTREE,STK,NSE,,INR,,,,,2000,100000,-500000,0,-367250,,0.05,N,100,ADR
214,BBTC,BBTC,STK,NSE,,INR,,,,,2000,100000,-500000,0,-369000,,0.05,N,100,ADR
215,BOMDYEING,BOMDYEING,STK,NSE,,INR,,,,,2000,100000,-500000,0,-370750,,0.05,N,100,ADR
216,BRFL,BRFL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-372500,,0.05,N,100,ADR
217,BOSCHLTD,BOSCHLTD,STK,NSE,,INR,,,,,2000,100000,-500000,0,-374250,,0.05,N,100,ADR
218,BPL,BPL,STK,NSE,,INR,,,,,2000,100000,-500000,0,-376000,,0.05,N,100,ADR
219,BRANDHOUS,BRANDHOUS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-377750,,0.05,N,100,ADR
220,BRIGADE,BRIGADE,STK,NSE,,INR,,,,,2000,100000,-500000,0,-379500,,0.05,N,100,ADR
221,BRITANNIA,BRITANNIA,STK,NSE,,INR,,,,,2000,100000,-500000,0,-381250,,0.05,N,100,ADR
222,BROADCAST,BROADCAST,STK,NSE,,INR,,,,,2000,100000,-500000,0,-383000,,0.05,N,100,ADR
223,BROOKS,BROOKS,STK,NSE,,INR,,,,,2000,100000,-500000,0,-384750,,0.05,N,100,ADR
