[Thu Sep 05 14:57:00 IST 2013] INFO: ,Symbol,BarNo,HighestHigh,LowestLow,LastPrice,Volume,CumulativeVol,VolumeSlope,MinSlopeReqd,MA,LongVolume,ShortVolume,DateTime,ruleHighestHigh,ruleCumVolumeLong,ruleSlopeLong,ruleVolumeLong,ruleLowestLow,ruleCumVolumeShort,ruleSlopeShort,ruleVolumeShort 
[Thu Sep 05 14:57:22 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5607.05,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:22 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:23 IST 2013] INFO: ,AXISBANK,1,9.99999999E8,0.0,919.3,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:23 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:23 IST 2013] INFO: ,BANKBAROD,1,9.99999999E8,0.0,508.0,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:23 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:24 IST 2013] INFO: ,AXISBANK,1,9.99999999E8,0.0,919.0,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:24 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:24 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5606.55,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:24 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:25 IST 2013] INFO: ,ANDHRABAN,1,9.99999999E8,0.0,51.65,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:25 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:25 IST 2013] INFO: ,INFY,1,9.99999999E8,0.0,3029.95,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:25 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:26 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5607.05,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:26 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:26 IST 2013] INFO: ,ALBK,1,9.99999999E8,0.0,71.85,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:26 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:26 IST 2013] INFO: ,AUROPHARM,1,9.99999999E8,0.0,189.0,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:26 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:26 IST 2013] INFO: ,NIFTY50,1,9.99999999E8,0.0,5606.4,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:26 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:27 IST 2013] INFO: ,BANKBAROD,1,9.99999999E8,0.0,507.7,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:27 IST,false,false,false,false,false,true,false,false 
[Thu Sep 05 14:57:27 IST 2013] INFO: ,INFY,1,9.99999999E8,0.0,3030.0,-9223372036854775808,0,0.0,1.0666666666666667,4.9E-324,10,-500000,20130905 14:57:27 IST,false,false,false,false,false,true,false,false 
