serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
131,ARSSINFRA,ARSSINFRA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
132,ARVIND,ARVIND,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
133,ARVINDREM,ARVINDREM,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
134,ASAHIINDI,ASAHIINDI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
135,ASAHISONG,ASAHISONG,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
136,ASHAPURMI,ASHAPURMI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
137,ASHIANA,ASHIANA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
138,ASHIMASYN,ASHIMASYN,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
139,ASHOKLEY,ASHOKLEY,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
140,ASHOKA,ASHOKA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
141,ASIANTILE,ASIANTILE,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
142,AHLEAST,AHLEAST,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
143,ASIANHOTN,ASIANHOTN,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
144,AHLWEST,AHLWEST,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
145,ASIANPAIN,ASIANPAIN,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
146,ASSAMCO,ASSAMCO,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
147,ASTEC,ASTEC,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
148,SHRIASTER,SHRIASTER,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
149,ASTRAMICR,ASTRAMICR,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
150,ASTRAL,ASTRAL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
151,ASTRAZEN,ASTRAZEN,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
152,ATLANTA,ATLANTA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
153,ATLASCYCL,ATLASCYCL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
154,ATNINTER,ATNINTER,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
155,ATULAUTO,ATULAUTO,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
156,ATUL,ATUL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
157,AURIONPRO,AURIONPRO,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
158,AUROPHARM,AUROPHARM,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
159,AUSOMENT,AUSOMENT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
160,AUTOIND,AUTOIND,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
161,AUTOLITIN,AUTOLITIN,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
162,AUTOAXLES,AUTOAXLES,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
163,ASAL,ASAL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
164,AVANTI,AVANTI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
165,SANOFI,SANOFI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
166,AVTNPL,AVTNPL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
167,AXISBANK,AXISBANK,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
168,AXISGOLD,AXISGOLD,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
169,AXIS-ITT,AXIS-ITT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
170,BAFNAPHAR,BAFNAPHAR,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
171,BAGFILMS,BAGFILMS,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
172,BAJFINANC,BAJFINANC,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
173,BAJAJ-AUT,BAJAJ-AUT,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
174,BAJAJCORP,BAJAJCORP,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
175,BAJAJELEC,BAJAJELEC,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
176,BAJAJFINS,BAJAJFINS,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
177,BAJAJHIND,BAJAJHIND,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
178,BAJAJHLDN,BAJAJHLDN,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
179,BALPHARMA,BALPHARMA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
180,BALAMINES,BALAMINES,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
181,BALAJITEL,BALAJITEL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
182,BALKRISIN,BALKRISIN,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
183,BALLARPUR,BALLARPUR,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
