Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
BILPOWER LTD,BILPOWER,BILPOWER,INR,56987963,NSE,STK
BINANI INDUSTRIES LTD,BINANIIND,BINANIIND,INR,56988131,NSE,STK
BIOCON LTD,BIOCON,BIOCON,INR,56987974,NSE,STK
BIRLA CORP LIMITED,BIRLACORP,BIRLACORPN,INR,56987880,NSE,STK
BIRLA COTSYN (INDIA) LIMITED,BIRLACOT,BIRLACOT,INR,69860017,NSE,STK
BIRLA ERICSSON OPTICALS LTD,BIRLAERIC,BIRLAERIC,INR,56987906,NSE,STK
BIRLA SUN LIFE GOLD ETF,BSLGOLDET,BSLGOLDETF,INR,89034185,NSE,STK
BIRLA SUN LIFE NIFTY ETF,BSLNIFTY,BSLNIFTY,INR,91861626,NSE,STK
BLB LTD,BLBLIMITE,BLBLIMITED,INR,56988011,NSE,STK
BLISS GVS PHARMA LIMITED,BLISSGVS,BLISSGVS,INR,64682779,NSE,STK
BLUE CHIP INDIA LTD,BLUECHIP,BLUECHIP,INR,56988014,NSE,STK
BLUE COAST HOTELS LTD,BLUECOAST,BLUECOAST,INR,56987367,NSE,STK
BLUE DART EXPRESS LIMITED,BLUEDART,BLUEDART,INR,56987894,NSE,STK
BLUE STAR INFOTECH LIMITED,BLUESTINF,BLUESTINFO,INR,56988032,NSE,STK
BLUE STAR LIMITED,BLUESTARC,BLUESTARCO,INR,56988037,NSE,STK
BODAL CHEMICALS LTD,BODALCHEM,BODALCHEM,INR,76123545,NSE,STK
BOMBAY BURMAH TRADING CORP,BBTC,BBTC,INR,116743273,NSE,STK
BOMBAY DYEING & MFG CO LTD,BOMDYEING,BOMDYEING,INR,116505002,NSE,STK
BOMBAY RAYON FASHIONS LTD,BRFL,BRFL,INR,56988083,NSE,STK
BOSCH LIMITED,BOSCHLTD,BOSCHLTD,INR,56988066,NSE,STK
BPL LTD,BPL,BPL,INR,75733123,NSE,STK
BRIGADE ENTERPRISES LIMITED,BRIGADE,BRIGADE,INR,56988086,NSE,STK
BRITANNIA INDUSTRIES LTD,BRITANNIA,BRITANNIA,INR,78724752,NSE,STK
BROADCAST INITIATIVES LTD,BROADCAST,BROADCAST,INR,56987879,NSE,STK
BROOKS LABORATORIES LTD,BROOKS,BROOKS,INR,93875741,NSE,STK
BS LTD,BSLIMITED,BSLIMITED,INR,142248412,NSE,STK
BSEL INFRASTRUCTURE REALTY,BSELINFRA,BSELINFRA,INR,56988107,NSE,STK
BSL LIMITED,BSL,BSL,INR,56988127,NSE,STK
BURNPUR CEMENT LIMITED,BURNPUR,BURNPUR,INR,56988071,NSE,STK
