serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
419,COREEDUTE,COREEDUTEC,STK,NSE,,INR,,,,1,,4,ADR:CNX500
420,COROENGG,COROENGG,STK,NSE,,INR,,,,1,,100,
421,COROMANDE,COROMANDEL,STK,NSE,,INR,,,,1,,4,ADR:CNX500
422,CORPBANK,CORPBANK,STK,NSE,,INR,,,,1,,4,ADR:CNX500
423,COSMOFILM,COSMOFILMS,STK,NSE,,INR,,,,1,,100,
424,COUNCODOS,COUNCODOS,STK,NSE,,INR,,,,1,,100,
425,COXKINGS,COX&KINGS,STK,NSE,,INR,,,,1,,4,ADR:CNX500
426,CREATIVEY,CREATIVEYE,STK,NSE,,INR,,,,1,,100,
427,CARERATIN,CARERATING,STK,NSE,,INR,,,,1,,4,ADR:CNX500
428,CRESTANI,CRESTANI,STK,NSE,,INR,,,,1,,100,
429,CRISIL,CRISIL,STK,NSE,,INR,,,,1,,4,ADR:CNX500
430,CROMPGREA,CROMPGREAV,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:IDT
431,CUBEXTUB,CUBEXTUB,STK,NSE,,INR,,,,1,,100,
432,CUMMINSIN,CUMMINSIND,STK,NSE,,INR,,,,1,,4,ADR:CNX500
433,CYBERMEDI,CYBERMEDIA,STK,NSE,,INR,,,,1,,100,
434,CYBERTECH,CYBERTECH,STK,NSE,,INR,,,,1,,100,
435,DLINKINDI,DLINKINDIA,STK,NSE,,INR,,,,1,,100,
436,DABUR,DABUR,STK,NSE,,INR,,,,1,09:15:00?15:30:00?Asia/Kolkata,1,ADR:CNX500:IDT
437,DALMIABHA,DALMIABHA,STK,NSE,,INR,,,,1,,100,
438,DALMIASUG,DALMIASUG,STK,NSE,,INR,,,,1,,100,
439,DATAMATIC,DATAMATICS,STK,NSE,,INR,,,,1,,100,
440,DBCORP,DBCORP,STK,NSE,,INR,,,,1,,4,ADR:CNX500
441,DBSTOCKBR,DBSTOCKBRO,STK,NSE,,INR,,,,1,,100,
442,DBREALTY,DBREALTY,STK,NSE,,INR,,,,1,,4,ADR:CNX500
443,DCM,DCM,STK,NSE,,INR,,,,1,,100,
444,DCMSRMCON,DCMSHRIRAM,STK,NSE,,INR,,,,1,,4,ADR:CNX500
445,DCW,DCW,STK,NSE,,INR,,,,1,,4,ADR:CNX500
446,DENORA,DENORA,STK,NSE,,INR,,,,1,,100,
447,DECCANCE,DECCANCE,STK,NSE,,INR,,,,1,,100,
448,DECOLIGHT,DECOLIGHT,STK,NSE,,INR,,,,1,,100,
449,DEEPIND,DEEPIND,STK,NSE,,INR,,,,1,,100,
450,DEEPAKFER,DEEPAKFERT,STK,NSE,,INR,,,,1,,4,ADR:CNX500
