serialno,symbol,brokersymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
288,LINDEINDI,LINDEINDIA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
289,LITL,LITL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
290,LT,LT,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
291,LUPIN,LUPIN,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
292,MM,M&M,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
293,MMFS,M&MFIN,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
294,MAGMA,MAGMA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
295,MAHLIFE,MAHLIFE,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
296,MAHSCOOTE,MAHSCOOTER,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
297,MAHSEAMLE,MAHSEAMLES,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
298,MANDHANA,MANDHANA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
299,MANGCHEFE,MANGCHEFER,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
300,MARICO,MARICO,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
301,MARKSANS,MARKSANS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
302,MARUTI,MARUTI,,STK,NSE,,INR,,,,1,,1,ADR:CNX500:NIFTY:FNO
303,MAX,MAX,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
304,MAYURUNIQ,MAYURUNIQ,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
305,MBLINFRA,MBLINFRA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
306,MCDOWELL-,MCDOWELL-N,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
307,MCLEODRUS,MCLEODRUSS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
308,MERCATOR,MERCATOR,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
309,MERCK,MERCK,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
310,MHRIL,MHRIL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
311,MINDTREE,MINDTREE,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
312,MMTC,MMTC,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
313,MOIL,MOIL,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
314,MONNETISP,MONNETISPA,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
315,MONSANTO,MONSANTO,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
316,MOTHERSUM,MOTHERSUMI,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
317,MOTILALOF,MOTILALOFS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
318,MPHASIS,MPHASIS,,STK,NSE,,INR,,,,1,,4,ADR:CNX500
319,MRF,MRF,,STK,NSE,,INR,,,,1,,2,ADR:CNX500:FNO
